 schemaname |       tablename       |                    indexname                    |                                                                                        indexdef                                                                                         
------------+-----------------------+-------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | _migrations           | _migrations_filename_key                        | CREATE UNIQUE INDEX _migrations_filename_key ON public._migrations USING btree (filename)
 public     | _migrations           | _migrations_pkey                                | CREATE UNIQUE INDEX _migrations_pkey ON public._migrations USING btree (id)
 public     | audit_logs            | audit_logs_pkey                                 | CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
 public     | audit_logs            | idx_audit_logs_action                           | CREATE INDEX idx_audit_logs_action ON public.audit_logs USING btree (action)
 public     | audit_logs            | idx_audit_logs_actor                            | CREATE INDEX idx_audit_logs_actor ON public.audit_logs USING btree (actor_user_id)
 public     | audit_logs            | idx_audit_logs_created_at                       | CREATE INDEX idx_audit_logs_created_at ON public.audit_logs USING btree (created_at DESC)
 public     | audit_logs            | idx_audit_logs_entity                           | CREATE INDEX idx_audit_logs_entity ON public.audit_logs USING btree (entity_type, entity_id)
 public     | audit_logs            | idx_audit_logs_entity_id                        | CREATE INDEX idx_audit_logs_entity_id ON public.audit_logs USING btree (entity_id) WHERE (entity_id IS NOT NULL)
 public     | audit_logs            | idx_audit_logs_entity_type                      | CREATE INDEX idx_audit_logs_entity_type ON public.audit_logs USING btree (entity_type)
 public     | audit_logs            | idx_audit_logs_outlet_id                        | CREATE INDEX idx_audit_logs_outlet_id ON public.audit_logs USING btree (outlet_id)
 public     | audit_logs            | idx_audit_logs_tenant_id                        | CREATE INDEX idx_audit_logs_tenant_id ON public.audit_logs USING btree (tenant_id)
 public     | audit_logs            | idx_audit_logs_user_entity                      | CREATE INDEX idx_audit_logs_user_entity ON public.audit_logs USING btree (user_id, entity_type, created_at DESC)
 public     | audit_logs            | idx_audit_logs_user_id                          | CREATE INDEX idx_audit_logs_user_id ON public.audit_logs USING btree (user_id)
 public     | bank_accounts         | bank_accounts_pkey                              | CREATE UNIQUE INDEX bank_accounts_pkey ON public.bank_accounts USING btree (id)
 public     | billing_history       | billing_history_pkey                            | CREATE UNIQUE INDEX billing_history_pkey ON public.billing_history USING btree (id)
 public     | billing_history       | idx_billing_history_user_id                     | CREATE INDEX idx_billing_history_user_id ON public.billing_history USING btree (user_id, created_at DESC)
 public     | business_profiles     | business_profiles_pkey                          | CREATE UNIQUE INDEX business_profiles_pkey ON public.business_profiles USING btree (id)
 public     | business_profiles     | business_profiles_user_id_key                   | CREATE UNIQUE INDEX business_profiles_user_id_key ON public.business_profiles USING btree (user_id)
 public     | business_profiles     | idx_business_profiles_user                      | CREATE INDEX idx_business_profiles_user ON public.business_profiles USING btree (user_id)
 public     | cash_sessions         | cash_sessions_pkey                              | CREATE UNIQUE INDEX cash_sessions_pkey ON public.cash_sessions USING btree (id)
 public     | cash_sessions         | idx_cash_sessions_opened_at                     | CREATE INDEX idx_cash_sessions_opened_at ON public.cash_sessions USING btree (opened_at)
 public     | cash_sessions         | idx_cash_sessions_outlet_id                     | CREATE INDEX idx_cash_sessions_outlet_id ON public.cash_sessions USING btree (outlet_id)
 public     | cash_sessions         | idx_cash_sessions_status                        | CREATE INDEX idx_cash_sessions_status ON public.cash_sessions USING btree (status)
 public     | cash_sessions         | idx_cash_sessions_tenant_id                     | CREATE INDEX idx_cash_sessions_tenant_id ON public.cash_sessions USING btree (tenant_id)
 public     | daily_sales           | daily_sales_pkey                                | CREATE UNIQUE INDEX daily_sales_pkey ON public.daily_sales USING btree (id)
 public     | daily_sales           | daily_sales_product_id_outlet_id_sale_date_key  | CREATE UNIQUE INDEX daily_sales_product_id_outlet_id_sale_date_key ON public.daily_sales USING btree (product_id, outlet_id, sale_date)
 public     | daily_sales           | idx_daily_sales_tenant_id                       | CREATE INDEX idx_daily_sales_tenant_id ON public.daily_sales USING btree (tenant_id)
 public     | daily_stock           | daily_stock_pkey                                | CREATE UNIQUE INDEX daily_stock_pkey ON public.daily_stock USING btree (id)
 public     | daily_stock           | daily_stock_product_id_outlet_id_stock_date_key | CREATE UNIQUE INDEX daily_stock_product_id_outlet_id_stock_date_key ON public.daily_stock USING btree (product_id, outlet_id, stock_date)
 public     | daily_stock           | idx_daily_stock_outlet_id                       | CREATE INDEX idx_daily_stock_outlet_id ON public.daily_stock USING btree (outlet_id)
 public     | daily_stock           | idx_daily_stock_product_outlet_date             | CREATE INDEX idx_daily_stock_product_outlet_date ON public.daily_stock USING btree (product_id, outlet_id, stock_date DESC)
 public     | daily_stock           | idx_daily_stock_stock_date                      | CREATE INDEX idx_daily_stock_stock_date ON public.daily_stock USING btree (stock_date DESC)
 public     | daily_stock           | idx_daily_stock_tenant_id                       | CREATE INDEX idx_daily_stock_tenant_id ON public.daily_stock USING btree (tenant_id)
 public     | operational_expenses  | idx_expenses_category                           | CREATE INDEX idx_expenses_category ON public.operational_expenses USING btree (category)
 public     | operational_expenses  | idx_expenses_created                            | CREATE INDEX idx_expenses_created ON public.operational_expenses USING btree (created_at DESC)
 public     | operational_expenses  | idx_expenses_date                               | CREATE INDEX idx_expenses_date ON public.operational_expenses USING btree (expense_date DESC)
 public     | operational_expenses  | idx_expenses_outlet_date                        | CREATE INDEX idx_expenses_outlet_date ON public.operational_expenses USING btree (outlet_id, expense_date DESC)
 public     | operational_expenses  | idx_expenses_user_date                          | CREATE INDEX idx_expenses_user_date ON public.operational_expenses USING btree (user_id, expense_date DESC)
 public     | operational_expenses  | idx_operational_expenses_tenant_id              | CREATE INDEX idx_operational_expenses_tenant_id ON public.operational_expenses USING btree (tenant_id)
 public     | operational_expenses  | operational_expenses_pkey                       | CREATE UNIQUE INDEX operational_expenses_pkey ON public.operational_expenses USING btree (id)
 public     | outlet_group_members  | idx_ogm_outlet_id                               | CREATE INDEX idx_ogm_outlet_id ON public.outlet_group_members USING btree (outlet_id)
 public     | outlet_group_members  | outlet_group_members_pkey                       | CREATE UNIQUE INDEX outlet_group_members_pkey ON public.outlet_group_members USING btree (outlet_group_id, outlet_id)
 public     | outlet_groups         | idx_outlet_groups_tenant_id                     | CREATE INDEX idx_outlet_groups_tenant_id ON public.outlet_groups USING btree (tenant_id)
 public     | outlet_groups         | outlet_groups_pkey                              | CREATE UNIQUE INDEX outlet_groups_pkey ON public.outlet_groups USING btree (id)
 public     | outlet_groups         | outlet_groups_tenant_id_name_key                | CREATE UNIQUE INDEX outlet_groups_tenant_id_name_key ON public.outlet_groups USING btree (tenant_id, name)
 public     | outlets               | idx_outlets_owner_id                            | CREATE INDEX idx_outlets_owner_id ON public.outlets USING btree (owner_id)
 public     | outlets               | idx_outlets_tenant_id                           | CREATE INDEX idx_outlets_tenant_id ON public.outlets USING btree (tenant_id)
 public     | outlets               | outlets_name_key                                | CREATE UNIQUE INDEX outlets_name_key ON public.outlets USING btree (name)
 public     | outlets               | outlets_pkey                                    | CREATE UNIQUE INDEX outlets_pkey ON public.outlets USING btree (id)
 public     | password_reset_tokens | idx_password_reset_tokens_expires_at            | CREATE INDEX idx_password_reset_tokens_expires_at ON public.password_reset_tokens USING btree (expires_at)
 public     | password_reset_tokens | idx_password_reset_tokens_token                 | CREATE INDEX idx_password_reset_tokens_token ON public.password_reset_tokens USING btree (token)
 public     | password_reset_tokens | idx_password_reset_tokens_user_id               | CREATE INDEX idx_password_reset_tokens_user_id ON public.password_reset_tokens USING btree (user_id)
 public     | password_reset_tokens | password_reset_tokens_pkey                      | CREATE UNIQUE INDEX password_reset_tokens_pkey ON public.password_reset_tokens USING btree (id)
 public     | password_reset_tokens | password_reset_tokens_token_key                 | CREATE UNIQUE INDEX password_reset_tokens_token_key ON public.password_reset_tokens USING btree (token)
 public     | payment_confirmations | idx_payment_confirmations_payment               | CREATE INDEX idx_payment_confirmations_payment ON public.payment_confirmations USING btree (payment_id)
